,Method,Subject,Accelorometer Axis,Average Degree,Network Diameter,Average Path Length,Activity,Body Part
431,HVG,4,z,3.95703125,29,11.46778203,Walking,forearm
432,NVG,4,x,9.748046875,13,5.230820045,Running,forearm
433,HVG,4,x,3.955078125,25,10.72195557,Running,forearm
434,NVG,4,y,10.64257812,11,5.237994868,Running,forearm
435,HVG,4,y,3.703125,29,12.31744486,Running,forearm
436,NVG,4,z,9.58203125,14,5.178379689,Running,forearm
437,HVG,4,z,3.947265625,34,12.12179825,Running,forearm
438,NVG,4,x,15.08007813,12,4.848177465,Climbing Up,forearm
439,HVG,4,x,3.921875,46,20.55554092,Climbing Up,forearm
440,NVG,4,y,11.015625,10,4.270640503,Climbing Up,forearm
441,HVG,4,y,3.953125,31,11.79540109,Climbing Up,forearm
442,NVG,4,z,13.50390625,9,4.033241309,Climbing Up,forearm
443,HVG,4,z,3.958984375,33,14.06012494,Climbing Up,forearm
444,NVG,4,x,13.8359375,12,4.448497067,Climbing Down,forearm
445,HVG,4,x,3.90234375,53,19.15485055,Climbing Down,forearm
446,NVG,4,y,10.70898437,10,4.433660572,Climbing Down,forearm
447,HVG,4,y,3.955078125,31,12.12049044,Climbing Down,forearm
448,NVG,4,z,12.96875,8,3.994354457,Climbing Down,forearm
449,HVG,4,z,3.908203125,47,14.96628139,Climbing Down,forearm
450,NVG,5,x,10.59375,11,5.149296646,Walking,forearm
451,HVG,5,x,3.953125,35,14.41422478,Walking,forearm
452,NVG,5,y,10.53515625,8,3.957319541,Walking,forearm
453,HVG,5,y,3.955078125,31,11.85131239,Walking,forearm
454,NVG,5,z,14.1953125,9,4.193848134,Walking,forearm
455,HVG,5,z,3.900390625,53,18.90664139,Walking,forearm
456,NVG,5,x,10.75585938,10,4.673142717,Running,forearm
457,HVG,5,x,3.958984375,31,12.01404035,Running,forearm
458,NVG,5,y,11.57617188,12,5.117907273,Running,forearm
459,HVG,5,y,3.80859375,32,14.35471652,Running,forearm
460,NVG,5,z,11.109375,9,4.28178458,Running,forearm
461,HVG,5,z,3.97265625,24,11.21324192,Running,forearm
462,NVG,5,x,12.0234375,10,5.074976708,Climbing Up,forearm
463,HVG,5,x,3.9609375,30,14.9469907,Climbing Up,forearm
464,NVG,5,y,13.66601563,12,4.514370647,Climbing Up,forearm
465,HVG,5,y,3.951171875,40,14.61698321,Climbing Up,forearm
466,NVG,5,z,13.9921875,9,4.516174853,Climbing Up,forearm
467,HVG,5,z,3.935546875,43,17.71269207,Climbing Up,forearm
468,NVG,5,x,18.55664063,12,4.968049319,Climbing Down,forearm
469,HVG,5,x,3.875,79,36.95377222,Climbing Down,forearm
470,NVG,5,y,12.25195312,8,3.843394886,Climbing Down,forearm
471,HVG,5,y,3.923828125,50,19.47412443,Climbing Down,forearm
472,NVG,5,z,13.71679688,9,4.492252413,Climbing Down,forearm
473,HVG,5,z,3.93359375,46,20.02842627,Climbing Down,forearm
474,NVG,6,x,10.70507813,14,5.263589779,Walking,forearm
475,HVG,6,x,3.93359375,34,15.36416903,Walking,forearm
476,NVG,6,y,10.76171875,11,4.776245952,Walking,forearm
477,HVG,6,y,3.94140625,34,13.85415521,Walking,forearm
478,NVG,6,z,12.38085938,8,4.141587243,Walking,forearm
479,HVG,6,z,3.955078125,22,11.3578839,Walking,forearm
480,NVG,6,x,12.56640625,12,5.432497862,Running,forearm
481,HVG,6,x,3.8671875,40,15.55257973,Running,forearm
482,NVG,6,y,12.328125,16,5.666590298,Running,forearm
483,HVG,6,y,3.681640625,36,14.72248251,Running,forearm
484,NVG,6,z,9.66796875,12,4.328457203,Running,forearm
485,HVG,6,z,3.931640625,30,11.50722446,Running,forearm
486,NVG,6,x,12.84179688,14,4.844383859,Climbing Up,forearm
487,HVG,6,x,3.927734375,37,17.81033877,Climbing Up,forearm
488,NVG,6,y,12.43359375,9,4.067005743,Climbing Up,forearm
489,HVG,6,y,3.958984375,36,15.16763846,Climbing Up,forearm
490,NVG,6,z,15.26367187,9,4.460494563,Climbing Up,forearm
491,HVG,6,z,3.9453125,42,17.06524163,Climbing Up,forearm
492,NVG,6,x,12.53515625,11,4.620183055,Climbing Down,forearm
493,HVG,6,x,3.9375,33,14.33982275,Climbing Down,forearm
494,NVG,6,y,12.20703125,8,4.273200758,Climbing Down,forearm
495,HVG,6,y,3.974609375,36,14.42153516,Climbing Down,forearm
496,NVG,6,z,16.05664062,8,3.953482023,Climbing Down,forearm
497,HVG,6,z,3.94140625,36,15.79777806,Climbing Down,forearm
498,NVG,7,x,10.92382812,13,5.091823604,Walking,forearm
499,HVG,7,x,3.958984375,27,12.96635203,Walking,forearm
500,NVG,7,y,10.98828125,9,4.461997113,Walking,forearm
501,HVG,7,y,3.970703125,26,11.04603113,Walking,forearm
502,NVG,7,z,15.06640625,9,4.674385615,Walking,forearm
503,HVG,7,z,3.953125,31,13.41782365,Walking,forearm
504,NVG,7,x,11.41210937,10,4.955969728,Running,forearm
505,HVG,7,x,3.9609375,33,14.92028272,Running,forearm
506,NVG,7,y,11.2109375,12,5.063966276,Running,forearm
507,HVG,7,y,3.837890625,27,12.6566643,Running,forearm
508,NVG,7,z,9.01171875,9,4.465681895,Running,forearm
509,HVG,7,z,3.966796875,28,10.80155257,Running,forearm
510,NVG,7,x,14.07226563,11,4.904967009,Climbing Up,forearm
511,HVG,7,x,3.947265625,38,17.64080065,Climbing Up,forearm
512,NVG,7,y,12.5625,11,4.652248289,Climbing Up,forearm
513,HVG,7,y,3.939453125,35,13.4732061,Climbing Up,forearm
514,NVG,7,z,17.94726563,11,4.630544355,Climbing Up,forearm
515,HVG,7,z,3.94140625,43,16.25795187,Climbing Up,forearm
516,NVG,7,x,11.95507812,10,4.833291331,Climbing Down,forearm
517,HVG,7,x,3.94140625,37,15.94942304,Climbing Down,forearm
518,NVG,7,y,11.828125,10,4.39348882,Climbing Down,forearm
519,HVG,7,y,3.970703125,33,12.965932,Climbing Down,forearm
520,NVG,7,z,13.61523437,10,4.533770161,Climbing Down,forearm
521,HVG,7,z,3.962890625,32,14.73241615,Climbing Down,forearm
522,NVG,8,x,12.18359375,10,4.962839076,Walking,forearm
523,HVG,8,x,3.955078125,34,15.45179619,Walking,forearm
524,NVG,8,y,11.36914063,12,4.784782044,Walking,forearm
525,HVG,8,y,3.935546875,31,13.85568258,Walking,forearm
526,NVG,8,z,12.50195313,9,4.472222859,Walking,forearm
527,HVG,8,z,3.966796875,36,13.03672753,Walking,forearm
528,NVG,8,x,15.00390625,12,4.998613911,Running,forearm
529,HVG,8,x,3.9453125,32,14.39668866,Running,forearm
530,NVG,8,y,11.82226562,9,4.905306849,Running,forearm
531,HVG,8,y,3.880859375,35,14.81846056,Running,forearm
532,NVG,8,z,10.546875,9,4.915353128,Running,forearm
533,HVG,8,z,3.96484375,29,11.67802648,Running,forearm
534,NVG,8,x,13.42578125,11,5.162256384,Climbing Up,forearm
535,HVG,8,x,3.962890625,32,14.76467421,Climbing Up,forearm
536,NVG,8,y,14.59960938,10,4.229506507,Climbing Up,forearm
537,HVG,8,y,3.958984375,37,15.76334158,Climbing Up,forearm
538,NVG,8,z,13.44726562,10,4.641951903,Climbing Up,forearm
539,HVG,8,z,3.9609375,32,15.12870578,Climbing Up,forearm
540,NVG,8,x,11.73632812,10,4.84505972,Climbing Down,forearm
541,HVG,8,x,3.94921875,37,15.71295172,Climbing Down,forearm
542,NVG,8,y,12.81054687,8,4.073877001,Climbing Down,forearm
543,HVG,8,y,3.955078125,32,13.56750787,Climbing Down,forearm
544,NVG,8,z,12.39648437,10,4.79194923,Climbing Down,forearm
545,HVG,8,z,3.9453125,35,14.11045752,Climbing Down,forearm
546,NVG,9,x,11.84179688,13,4.992662894,Walking,forearm
547,HVG,9,x,3.94921875,34,14.91861406,Walking,forearm
548,NVG,9,y,11.96679688,8,4.270098286,Walking,forearm
549,HVG,9,y,3.970703125,28,11.72397933,Walking,forearm
550,NVG,9,z,15.51367188,11,5.045971942,Walking,forearm
551,HVG,9,z,3.943359375,36,15.285519,Walking,forearm
552,NVG,9,x,11.18554688,9,4.71081722,Running,forearm
553,HVG,9,x,3.955078125,25,11.73654387,Running,forearm
554,NVG,9,y,12.11523437,10,5.118178382,Running,forearm
555,HVG,9,y,3.666015625,31,14.78760577,Running,forearm
556,NVG,9,z,9.404296875,10,5.148040384,Running,forearm
557,HVG,9,z,3.95703125,26,12.45635539,Running,forearm
558,NVG,9,x,15.54492187,17,5.69045928,Climbing Up,forearm
559,HVG,9,x,3.912109375,48,17.83086663,Climbing Up,forearm
560,NVG,9,y,11.15234375,9,4.587560331,Climbing Up,forearm
561,HVG,9,y,3.958984375,23,11.32318777,Climbing Up,forearm
562,NVG,9,z,14.19921875,11,4.577279219,Climbing Up,forearm
563,HVG,9,z,3.927734375,38,15.94541369,Climbing Up,forearm
564,NVG,9,x,12.20507813,13,5.102965772,Climbing Down,forearm
565,HVG,9,x,3.93359375,36,16.48136417,Climbing Down,forearm
566,NVG,9,y,11.74609375,10,4.523151118,Climbing Down,forearm
567,HVG,9,y,3.919921875,42,14.8616336,Climbing Down,forearm
568,NVG,9,z,12.81054688,11,4.762587442,Climbing Down,forearm
569,HVG,9,z,3.96875,36,14.23356358,Climbing Down,forearm
570,NVG,10,x,12.34960938,12,4.780528317,Walking,forearm
571,HVG,10,x,3.93359375,39,14.54268428,Walking,forearm
572,NVG,10,y,10.78710938,9,4.3691769,Walking,forearm
573,HVG,10,y,3.966796875,25,11.91032044,Walking,forearm
574,NVG,10,z,10.80078125,9,4.724494822,Walking,forearm
575,HVG,10,z,3.953125,29,12.02426801,Walking,forearm
576,NVG,10,x,9.607421875,10,4.833709448,Running,forearm
577,HVG,10,x,3.892578125,24,8.805959036,Running,forearm
578,NVG,10,y,11.2734375,12,5.015731916,Running,forearm
579,HVG,10,y,3.677734375,31,13.12874015,Running,forearm
580,NVG,10,z,10.53125,12,4.337065845,Running,forearm
581,HVG,10,z,3.953125,29,12.56469369,Running,forearm
582,NVG,10,x,15.27929688,8,4.051088633,Climbing Up,forearm
583,HVG,10,x,3.904296875,65,24.52466703,Climbing Up,forearm
584,NVG,10,y,11.98632813,11,4.125206195,Climbing Up,forearm
585,HVG,10,y,3.931640625,35,14.62136677,Climbing Up,forearm
586,NVG,10,z,12.87109375,11,4.273676152,Climbing Up,forearm
587,HVG,10,z,3.90234375,57,20.08086281,Climbing Up,forearm
588,NVG,10,x,12.2578125,11,4.70572153,Climbing Down,forearm
589,HVG,10,x,3.912109375,42,17.7409446,Climbing Down,forearm
590,NVG,10,y,11.7109375,12,4.983662864,Climbing Down,forearm
591,HVG,10,y,3.9375,37,14.83258301,Climbing Down,forearm
592,NVG,10,z,11.10742187,8,4.214047608,Climbing Down,forearm
593,HVG,10,z,3.955078125,38,14.86172333,Climbing Down,forearm
594,NVG,11,x,10.34960938,8,4.397717727,Walking,forearm
595,HVG,11,x,3.96484375,26,11.27932933,Walking,forearm
596,NVG,11,y,12.34960937,10,4.996588236,Walking,forearm
597,HVG,11,y,3.958984375,29,14.23096324,Walking,forearm
598,NVG,11,z,12.453125,11,4.587294951,Walking,forearm
599,HVG,11,z,3.93359375,43,16.20252933,Walking,forearm
600,NVG,11,x,15.04101562,10,4.258148522,Running,forearm
601,HVG,11,x,3.970703125,29,13.24103243,Running,forearm
602,NVG,11,y,13.16601562,16,5.524227914,Running,forearm
603,HVG,11,y,3.650390625,37,15.09970484,Running,forearm
604,NVG,11,z,11.8359375,8,4.467768664,Running,forearm
605,HVG,11,z,3.9765625,24,11.50420218,Running,forearm
606,NVG,11,x,10.97460938,11,5.288096438,Climbing Up,forearm
607,HVG,11,x,3.96875,32,14.69441135,Climbing Up,forearm
608,NVG,11,y,13.41992187,8,4.269420516,Climbing Up,forearm
609,HVG,11,y,3.943359375,38,16.31738568,Climbing Up,forearm
610,NVG,11,z,13.1796875,8,4.229538963,Climbing Up,forearm
611,HVG,11,z,3.958984375,30,14.87175052,Climbing Up,forearm
612,NVG,11,x,12.43554688,8,4.350993554,Climbing Down,forearm
613,HVG,11,x,3.955078125,38,16.38036107,Climbing Down,forearm
614,NVG,11,y,11.07421875,10,4.336418622,Climbing Down,forearm
615,HVG,11,y,3.921875,45,15.77228815,Climbing Down,forearm
616,NVG,11,z,10.95703125,9,4.573560071,Climbing Down,forearm
617,HVG,11,z,3.916015625,45,15.12513746,Climbing Down,forearm
618,NVG,12,x,10.32421875,13,5.408873259,Walking,forearm
619,HVG,12,x,3.9453125,32,13.97454446,Walking,forearm
620,NVG,12,y,11.2421875,14,5.196990698,Walking,forearm
621,HVG,12,y,3.9453125,32,12.54085143,Walking,forearm
622,NVG,12,z,10.36523438,12,5.319902019,Walking,forearm
623,HVG,12,z,3.935546875,36,14.80633897,Walking,forearm
624,NVG,12,x,9.58203125,10,5.143738927,Running,forearm
625,HVG,12,x,3.96484375,28,11.70600409,Running,forearm
626,NVG,12,y,11.58984375,9,4.823680352,Running,forearm
627,HVG,12,y,3.69140625,29,12.61754834,Running,forearm
628,NVG,12,z,8.7890625,11,5.061770681,Running,forearm
629,HVG,12,z,3.947265625,27,10.77780769,Running,forearm
630,NVG,12,x,11.66015625,13,5.234928672,Climbing Up,forearm
631,HVG,12,x,3.93359375,36,15.2582058,Climbing Up,forearm
632,NVG,12,y,10.52539063,11,4.673623839,Climbing Up,forearm
633,HVG,12,y,3.958984375,23,10.89820076,Climbing Up,forearm
634,NVG,12,z,12.20117188,12,4.710798127,Climbing Up,forearm
635,HVG,12,z,3.9609375,30,11.52662589,Climbing Up,forearm
636,NVG,12,x,12.20507813,13,5.171424426,Climbing Down,forearm
637,HVG,12,x,3.9296875,42,18.26612712,Climbing Down,forearm
638,NVG,12,y,12.62304688,9,3.948695626,Climbing Down,forearm
639,HVG,12,y,3.935546875,36,15.92708142,Climbing Down,forearm
640,NVG,12,z,12.74804688,9,4.476127199,Climbing Down,forearm
641,HVG,12,z,3.95703125,32,14.6824234,Climbing Down,forearm
642,NVG,13,x,11.25195312,10,4.823000672,Walking,forearm
643,HVG,13,x,3.953125,36,13.96189974,Walking,forearm
644,NVG,13,y,11.59179688,11,4.81769306,Walking,forearm
645,HVG,13,y,3.947265625,29,13.05967436,Walking,forearm
646,NVG,13,z,11.53320312,9,4.657412711,Walking,forearm
647,HVG,13,z,3.962890625,29,12.78003001,Walking,forearm
648,NVG,13,x,17.00390625,9,4.710246365,Running,forearm
649,HVG,13,x,3.9609375,34,15.34829393,Running,forearm
650,NVG,13,y,11.27929688,13,5.177541544,Running,forearm
651,HVG,13,y,3.638671875,27,12.5384,Running,forearm
652,NVG,13,z,13.13671875,10,4.29498297,Running,forearm
653,HVG,13,z,3.96484375,24,12.10069381,Running,forearm
654,NVG,13,x,13.24804687,10,4.916305825,Climbing Up,forearm
655,HVG,13,x,3.921875,45,17.52292583,Climbing Up,forearm
656,NVG,13,y,12.3125,10,4.874488331,Climbing Up,forearm
657,HVG,13,y,3.93359375,37,14.87972721,Climbing Up,forearm
658,NVG,13,z,14.74804687,12,4.589408449,Climbing Up,forearm
659,HVG,13,z,3.916015625,50,18.35138494,Climbing Up,forearm
660,NVG,13,x,13.42773437,10,4.656146902,Climbing Down,forearm
661,HVG,13,x,3.923828125,48,20.50651233,Climbing Down,forearm
662,NVG,13,y,13.25195312,13,4.611183025,Climbing Down,forearm
663,HVG,13,y,3.8984375,59,19.21146635,Climbing Down,forearm
664,NVG,13,z,12.72070312,9,4.053501879,Climbing Down,forearm
665,HVG,13,z,3.90234375,59,23.32908342,Climbing Down,forearm
666,NVG,14,x,13.43945313,13,5.349756384,Walking,forearm
667,HVG,14,x,3.951171875,29,13.97177419,Walking,forearm
668,NVG,14,y,11.85351563,10,4.69958341,Walking,forearm
669,HVG,14,y,3.955078125,28,12.42773438,Walking,forearm
670,NVG,14,z,12.57421875,9,4.959538047,Walking,forearm
671,HVG,14,z,3.96484375,33,14.75646269,Walking,forearm
672,NVG,14,x,11.1953125,9,4.390518084,Running,forearm
673,HVG,14,x,3.970703125,28,11.07848202,Running,forearm
674,NVG,14,y,12.38476562,8,4.416655211,Running,forearm
675,HVG,14,y,3.70703125,27,11.86988904,Running,forearm
676,NVG,14,z,7.484375,10,5.097829988,Running,forearm
677,HVG,14,z,3.978515625,22,9.420752383,Running,forearm
678,NVG,14,x,13.83203125,10,4.947149163,Climbing Up,forearm
679,HVG,14,x,3.94921875,37,16.59179497,Climbing Up,forearm
680,NVG,14,y,13.19921875,12,5.234033251,Climbing Up,forearm
681,HVG,14,y,3.921875,46,17.01787596,Climbing Up,forearm
682,NVG,14,z,13.8984375,9,4.417623182,Climbing Up,forearm
683,HVG,14,z,3.95703125,30,15.43441662,Climbing Up,forearm
684,NVG,14,x,10.36132813,15,5.215817449,Climbing Down,forearm
685,HVG,14,x,3.943359375,27,12.7672631,Climbing Down,forearm
686,NVG,14,y,10.84960938,10,4.622932322,Climbing Down,forearm
687,HVG,14,y,3.94921875,32,13.24198703,Climbing Down,forearm
688,NVG,14,z,11.81640625,10,4.806587167,Climbing Down,forearm
689,HVG,14,z,3.951171875,35,14.47136753,Climbing Down,forearm
690,NVG,15,x,11.72460937,12,5.095514113,Walking,forearm
691,HVG,15,x,3.951171875,34,15.38995105,Walking,forearm
692,NVG,15,y,9.546875,11,4.906383645,Walking,forearm
693,HVG,15,y,3.939453125,29,12.82026859,Walking,forearm
694,NVG,15,z,11.6171875,11,4.747168637,Walking,forearm
695,HVG,15,z,3.94140625,42,15.20797822,Walking,forearm
696,NVG,15,x,15.2421875,9,4.523565417,Running,forearm
697,HVG,15,x,3.974609375,26,12.30059797,Running,forearm
698,NVG,15,y,12.96875,11,5.176184094,Running,forearm
699,HVG,15,y,3.619140625,30,13.2070217,Running,forearm
700,NVG,15,z,9.294921875,10,4.719754246,Running,forearm
701,HVG,15,z,3.94921875,28,12.62653692,Running,forearm
702,NVG,15,x,12.32421875,12,4.929605404,Climbing Up,forearm
703,HVG,15,x,3.921875,51,20.64920882,Climbing Up,forearm
704,NVG,15,y,10.2265625,9,4.744961587,Climbing Up,forearm
705,HVG,15,y,3.95703125,27,12.5660225,Climbing Up,forearm
706,NVG,15,z,15.8359375,8,4.102284183,Climbing Up,forearm
707,HVG,15,z,3.896484375,53,22.8169752,Climbing Up,forearm
708,NVG,15,x,10.25,12,5.053133401,Climbing Down,forearm
709,HVG,15,x,3.916015625,44,18.45537596,Climbing Down,forearm
710,NVG,15,y,12.05078125,11,4.499618157,Climbing Down,forearm
711,HVG,15,y,3.921875,50,19.90629391,Climbing Down,forearm
712,NVG,15,z,11.62304688,11,4.741446725,Climbing Down,forearm
713,HVG,15,z,3.908203125,50,20.11263594,Climbing Down,forearm
714,NVG,1,x,12.4921875,11,4.518702652,Walking,head
715,HVG,1,x,3.94921875,35,16.40374702,Walking,head
716,NVG,1,y,13.1875,9,4.28149247,Walking,head
717,HVG,1,y,3.966796875,24,10.0744994,Walking,head
718,NVG,1,z,12.97460938,13,5.146119715,Walking,head
719,HVG,1,z,3.9140625,39,14.94592345,Walking,head
720,NVG,1,x,9.6015625,9,4.617489156,Running,head
721,HVG,1,x,3.953125,31,10.85639281,Running,head
722,NVG,1,y,9.013671875,9,4.969255941,Running,head
723,HVG,1,y,3.96484375,21,7.21190738,Running,head
724,NVG,1,z,8.146484375,10,4.960036351,Running,head
725,HVG,1,z,3.958984375,21,8.737777218,Running,head
726,NVG,1,x,12.18359375,9,4.127892458,Climbing Up,head
727,HVG,1,x,3.943359375,38,16.03048441,Climbing Up,head
728,NVG,1,y,18.02734375,10,3.953350287,Climbing Up,head
729,HVG,1,y,3.935546875,36,13.60538284,Climbing Up,head
730,NVG,1,z,16.42578125,11,4.49090069,Climbing Up,head
731,HVG,1,z,3.89453125,51,20.33267275,Climbing Up,head
732,NVG,1,x,10.01953125,13,5.308570839,Climbing Down,head
733,HVG,1,x,3.923828125,38,13.30239644,Climbing Down,head
734,NVG,1,y,13.81445313,10,4.72384569,Climbing Down,head
735,HVG,1,y,3.94921875,25,10.86181497,Climbing Down,head
736,NVG,1,z,12.64453125,10,4.611320488,Climbing Down,head
737,HVG,1,z,3.931640625,48,18.12295332,Climbing Down,head
738,NVG,2,x,8.767578125,10,4.490770864,Walking,head
739,HVG,2,x,3.94921875,25,9.147853281,Walking,head
740,NVG,2,y,14.06640625,10,4.942651057,Walking,head
741,HVG,2,y,3.96484375,29,11.88623954,Walking,head
742,NVG,2,z,13.43359375,8,4.410118066,Walking,head
743,HVG,2,z,3.96484375,28,13.60978166,Walking,head
744,NVG,2,x,10.5703125,19,8.226720965,Running,head
745,HVG,2,x,3.94140625,30,11.69362285,Running,head
746,NVG,2,y,9.015625,161,54.12331607,Running,head
747,HVG,2,y,3.66796875,167,56.42310644,Running,head
748,NVG,2,z,6.513671875,11,5.10515373,Running,head
749,HVG,2,z,3.96875,15,7.15542522,Running,head
750,NVG,2,x,10.30273438,10,4.551959234,Climbing Up,head
751,HVG,2,x,3.96484375,29,10.38892198,Climbing Up,head
752,NVG,2,y,14.47070313,11,4.816257331,Climbing Up,head
753,HVG,2,y,3.9609375,32,12.74361177,Climbing Up,head
754,NVG,2,z,15.203125,9,4.350716719,Climbing Up,head
755,HVG,2,z,3.947265625,34,16.4699929,Climbing Up,head
756,NVG,2,x,13.89648438,10,4.441958013,Climbing Down,head
757,HVG,2,x,3.943359375,30,13.43228976,Climbing Down,head
758,NVG,2,y,13.484375,13,4.933504017,Climbing Down,head
759,HVG,2,y,3.955078125,29,12.47475829,Climbing Down,head
760,NVG,2,z,12.95117187,10,4.244585472,Climbing Down,head
761,HVG,2,z,3.9140625,49,21.88365637,Climbing Down,head
762,NVG,3,x,15.20117187,9,4.157993112,Walking,head
763,HVG,3,x,3.9453125,37,15.98490194,Walking,head
764,NVG,3,y,17.65234375,8,3.987956684,Walking,head
765,HVG,3,y,3.9609375,32,13.63649346,Walking,head
766,NVG,3,z,15.61328125,8,4.239665429,Walking,head
767,HVG,3,z,3.958984375,29,11.45441754,Walking,head
768,NVG,3,x,8.845703125,12,5.593685087,Running,head
769,HVG,3,x,3.9375,34,11.52023575,Running,head
770,NVG,3,y,10.3515625,123,40.02032548,Running,head
771,HVG,3,y,3.755859375,127,42.85224409,Running,head
772,NVG,3,z,10.06445313,10,4.915572688,Running,head
773,HVG,3,z,3.953125,24,9.964059063,Running,head
774,NVG,3,x,17.27148437,10,4.30983092,Climbing Up,head
775,HVG,3,x,3.91796875,60,23.26036321,Climbing Up,head
776,NVG,3,y,18.12109375,9,4.327643878,Climbing Up,head
777,HVG,3,y,3.94921875,32,13.89341818,Climbing Up,head
778,NVG,3,z,19.04882813,9,4.492542614,Climbing Up,head
779,HVG,3,z,3.927734375,52,20.79191868,Climbing Up,head
780,NVG,3,x,14.2109375,8,4.023006018,Climbing Down,head
781,HVG,3,x,3.955078125,36,14.58704675,Climbing Down,head
782,NVG,3,y,14.08398438,11,4.605029631,Climbing Down,head
783,HVG,3,y,3.962890625,31,12.9882908,Climbing Down,head
784,NVG,3,z,15.89648438,8,3.681447794,Climbing Down,head
785,HVG,3,z,3.91796875,57,20.04063378,Climbing Down,head
786,NVG,4,x,10.24804688,13,5.358954973,Walking,head
787,HVG,4,x,3.91796875,42,18.96653722,Walking,head
788,NVG,4,y,15.03515625,7,4.143103159,Walking,head
789,HVG,4,y,3.9609375,27,11.85098592,Walking,head
790,NVG,4,z,10.96875,10,4.52729411,Walking,head
791,HVG,4,z,3.939453125,35,14.31392236,Walking,head
792,NVG,4,x,9.873046875,11,4.97302091,Running,head
793,HVG,4,x,3.716796875,24,10.62281204,Running,head
794,NVG,4,y,10.72851562,8,4.458192052,Running,head
795,HVG,4,y,3.96875,24,10.71132698,Running,head
796,NVG,4,z,9.32421875,11,4.705177404,Running,head
797,HVG,4,z,3.962890625,20,9.210021078,Running,head
798,NVG,4,x,12.24023437,12,4.875110734,Climbing Up,head
799,HVG,4,x,3.947265625,33,14.22168637,Climbing Up,head
800,NVG,4,y,17.85351563,8,4.382701766,Climbing Up,head
801,HVG,4,y,3.95703125,36,14.72889365,Climbing Up,head
802,NVG,4,z,13.31640625,13,4.572466092,Climbing Up,head
803,HVG,4,z,3.91015625,48,19.67575834,Climbing Up,head
804,NVG,4,x,11.25390625,11,4.54073688,Climbing Down,head
805,HVG,4,x,3.943359375,39,16.30400782,Climbing Down,head
806,NVG,4,y,14.546875,10,4.811503391,Climbing Down,head
807,HVG,4,y,3.9609375,32,13.61497472,Climbing Down,head
808,NVG,4,z,12.06445313,11,4.592129078,Climbing Down,head
809,HVG,4,z,3.931640625,36,15.68080821,Climbing Down,head
810,NVG,5,x,8.998046875,11,4.848589855,Walking,head
811,HVG,5,x,3.953125,23,9.791002261,Walking,head
812,NVG,5,y,14.50585938,8,4.179916606,Walking,head
813,HVG,5,y,3.958984375,26,10.82605732,Walking,head
814,NVG,5,z,8.83984375,10,4.702714519,Walking,head
815,HVG,5,z,3.9609375,19,9.072972034,Walking,head
816,NVG,5,x,10.57226562,13,5.429023094,Running,head
817,HVG,5,x,3.94921875,22,9.797621502,Running,head
818,NVG,5,y,8.6484375,12,5.386844758,Running,head
819,HVG,5,y,3.962890625,27,9.100000764,Running,head
820,NVG,5,z,7.876953125,8,4.703510661,Running,head
821,HVG,5,z,3.9765625,17,8.10925472,Running,head
822,NVG,5,x,16.15625,9,4.266680795,Climbing Up,head
823,HVG,5,x,3.92578125,46,16.6206489,Climbing Up,head
824,NVG,5,y,15.7734375,9,4.074957615,Climbing Up,head
825,HVG,5,y,3.9375,36,14.36999213,Climbing Up,head
826,NVG,5,z,16.63085937,13,4.84059598,Climbing Up,head
827,HVG,5,z,3.923828125,50,18.33820755,Climbing Up,head
828,NVG,5,x,9.30859375,12,5.384496426,Climbing Down,head
829,HVG,5,x,3.962890625,30,12.04365225,Climbing Down,head
830,NVG,5,y,14.40820313,8,4.029928825,Climbing Down,head
831,HVG,5,y,3.955078125,37,13.88476563,Climbing Down,head
832,NVG,5,z,13.42382813,11,4.240352746,Climbing Down,head
833,HVG,5,z,3.908203125,44,16.90750435,Climbing Down,head
834,NVG,6,x,7.9296875,15,4.861062744,Walking,head
835,HVG,6,x,3.939453125,34,8.414910191,Walking,head
836,NVG,6,y,16.40234375,9,4.77008874,Walking,head
837,HVG,6,y,3.93359375,40,15.42794821,Walking,head
838,NVG,6,z,17.65429687,9,4.31194251,Walking,head
839,HVG,6,z,3.927734375,45,21.0197909,Walking,head
840,NVG,6,x,8.28515625,10,5.154365607,Running,head
841,HVG,6,x,3.9609375,23,10.74384852,Running,head
842,NVG,6,y,11.33398438,10,4.599618921,Running,head
843,HVG,6,y,3.9609375,25,11.24362323,Running,head
844,NVG,6,z,10.58007812,9,4.432524591,Running,head
845,HVG,6,z,3.96875,24,11.61915781,Running,head
846,NVG,6,x,9.3671875,10,4.751672471,Climbing Up,head
847,HVG,6,x,3.94921875,26,9.79939898,Climbing Up,head
848,NVG,6,y,16.30078125,9,4.263706241,Climbing Up,head
849,HVG,6,y,3.94140625,35,15.49406235,Climbing Up,head
850,NVG,6,z,16.11328125,14,5.256287039,Climbing Up,head
851,HVG,6,z,3.904296875,59,23.29219934,Climbing Up,head
852,NVG,6,x,9.453125,9,4.422230114,Climbing Down,head
853,HVG,6,x,3.9609375,26,10.92557124,Climbing Down,head
854,NVG,6,y,15.44921875,12,4.674250061,Climbing Down,head
855,HVG,6,y,3.927734375,39,15.00825162,Climbing Down,head
856,NVG,6,z,14.46679687,9,4.253617959,Climbing Down,head
857,HVG,6,z,3.880859375,61,22.04679672,Climbing Down,head
858,NVG,7,x,7.755859375,13,5.092117623,Walking,head
859,HVG,7,x,3.9609375,23,9.722744074,Walking,head
860,NVG,7,y,10.828125,8,4.151457875,Walking,head
